KE = 16.8511, PE = -4.34721, total = 12.5039
KE = 16.7561, PE = -4.24798, total = 12.5081
KE = 16.6603, PE = -4.14846, total = 12.5119
KE = 16.5646, PE = -4.04947, total = 12.5152
KE = 16.4698, PE = -3.95183, total = 12.518
KE = 16.3767, PE = -3.85642, total = 12.5203
KE = 16.2862, PE = -3.76414, total = 12.522
KE = 16.1992, PE = -3.67591, total = 12.5233
KE = 16.1166, PE = -3.5926, total = 12.524
KE = 16.0393, PE = -3.51512, total = 12.5242
KE = 15.9682, PE = -3.44429, total = 12.5239
KE = 15.904, PE = -3.38093, total = 12.5231
KE = 15.8476, PE = -3.34209, total = 12.5055
KE = 15.7996, PE = -3.29581, total = 12.5038
KE = 15.7607, PE = -3.25895, total = 12.5018
KE = 15.7314, PE = -3.232, total = 12.4994
KE = 15.712, PE = -3.21531, total = 12.4967
KE = 15.7029, PE = -3.20915, total = 12.4938
KE = 15.7043, PE = -3.21367, total = 12.4907
KE = 15.7163, PE = -3.2289, total = 12.4874
KE = 15.7388, PE = -3.25475, total = 12.4841
KE = 15.7718, PE = -3.29102, total = 12.4807
KE = 15.8148, PE = -3.33742, total = 12.4774
KE = 15.8676, PE = -3.39352, total = 12.4741
KE = 15.9297, PE = -3.45883, total = 12.4709
KE = 16.0005, PE = -3.53274, total = 12.4678
KE = 16.0794, PE = -3.61459, total = 12.4648
KE = 16.1657, PE = -3.70362, total = 12.4621
KE = 16.2586, PE = -3.79904, total = 12.4595
KE = 16.3572, PE = -3.9, total = 12.4572
KE = 16.4607, PE = -4.00561, total = 12.4551
KE = 16.5681, PE = -4.11499, total = 12.4531
KE = 16.6786, PE = -4.22721, total = 12.4514
KE = 16.7913, PE = -4.34139, total = 12.4499
KE = 16.9051, PE = -4.45664, total = 12.4485
KE = 17.0193, PE = -4.57211, total = 12.4472
KE = 17.1331, PE = -4.687, total = 12.4461
KE = 17.2455, PE = -4.80055, total = 12.4449
KE = 17.3559, PE = -4.91207, total = 12.4438
KE = 17.4636, PE = -5.02092, total = 12.4427
KE = 17.568, PE = -5.12654, total = 12.4415
KE = 17.6686, PE = -5.22845, total = 12.4401
KE = 17.7648, PE = -5.32622, total = 12.4386
KE = 17.8563, PE = -5.41951, total = 12.4368
KE = 17.9428, PE = -5.50806, total = 12.4347
KE = 18.0239, PE = -5.59164, total = 12.4323
KE = 18.0996, PE = -5.67013, total = 12.4295
KE = 18.1697, PE = -5.74344, total = 12.4263
KE = 18.2341, PE = -5.81154, total = 12.4226
KE = 18.2929, PE = -5.87445, total = 12.4184
KE = 18.3459, PE = -5.93223, total = 12.4137
KE = 18.3934, PE = -5.98497, total = 12.4084
KE = 18.4354, PE = -6.03282, total = 12.4026
KE = 18.472, PE = -6.2005, total = 12.2715
KE = 18.5094, PE = -6.24513, total = 12.2642
KE = 18.542, PE = -6.28573, total = 12.2563
KE = 18.5702, PE = -6.32252, total = 12.2477
KE = 18.5942, PE = -6.35574, total = 12.2385
KE = 18.6141, PE = -6.38563, total = 12.2285
KE = 18.6303, PE = -6.41244, total = 12.2179
KE = 18.643, PE = -6.43641, total = 12.2066
KE = 18.6524, PE = -6.4578, total = 12.1946
KE = 18.6588, PE = -6.47686, total = 12.182
KE = 18.6625, PE = -6.49381, total = 12.1687
KE = 18.6636, PE = -6.5089, total = 12.1547
KE = 18.6625, PE = -6.52237, total = 12.1402
KE = 18.6594, PE = -6.53443, total = 12.125
KE = 18.6546, PE = -6.54531, total = 12.1093
KE = 18.6482, PE = -6.55523, total = 12.093
KE = 18.6406, PE = -6.56438, total = 12.0763
KE = 18.632, PE = -6.57297, total = 12.059
KE = 18.6226, PE = -6.58118, total = 12.0414
KE = 18.6126, PE = -6.58921, total = 12.0234
KE = 18.6023, PE = -6.59723, total = 12.005
KE = 18.5919, PE = -6.60541, total = 11.9864
KE = 18.5816, PE = -6.61392, total = 11.9676
KE = 18.5716, PE = -6.62291, total = 11.9487
KE = 18.5622, PE = -6.63251, total = 11.9297
KE = 18.5536, PE = -6.64288, total = 11.9107
KE = 18.5459, PE = -6.65413, total = 11.8918
KE = 18.5394, PE = -6.66637, total = 11.873
KE = 18.5342, PE = -6.6797, total = 11.8545
KE = 18.5305, PE = -6.69419, total = 11.8363
KE = 18.5285, PE = -6.70991, total = 11.8186
KE = 18.5282, PE = -6.72686, total = 11.8014
KE = 18.5298, PE = -6.74505, total = 11.7848
KE = 18.5333, PE = -6.76441, total = 11.7689
KE = 18.5388, PE = -6.78484, total = 11.7539
KE = 18.546, PE = -6.80615, total = 11.7399
KE = 18.555, PE = -6.82809, total = 11.7269
KE = 18.5654, PE = -6.85026, total = 11.7151
KE = 18.5769, PE = -6.87216, total = 11.7047
KE = 18.589, PE = -6.8931, total = 11.6959
KE = 18.6009, PE = -6.91216, total = 11.6887
KE = 18.6116, PE = -6.92817, total = 11.6834
KE = 18.6198, PE = -6.93959, total = 11.6803
KE = 18.624, PE = -6.94446, total = 11.6795
KE = 18.6218, PE = -6.9403, total = 11.6815
KE = 18.6105, PE = -6.92393, total = 11.6866
KE = 18.5866, PE = -6.89137, total = 11.6952
KE = 18.5456, PE = -6.83762, total = 11.708
KE = 18.4819, PE = -6.75642, total = 11.7255
KE = 18.3887, PE = -6.64008, total = 11.7486
KE = 18.2573, PE = -6.47915, total = 11.7781
